id,title,text,category
1,Sample Title 1,সরকার নতুন বাজেটে স্বাস্থ্য খাতে বরাদ্দ বৃদ্ধি করেছে।,Politics
2,Sample Title 2,The parliament passed a new law regarding digital security.,Politics
3,Sample Title 3,Election campaigns are starting in several districts.,Politics
4,Sample Title 4,সরকার নতুন বাজেটে স্বাস্থ্য খাতে বরাদ্দ বৃদ্ধি করেছে।,Politics
5,Sample Title 5,The parliament passed a new law regarding digital security.,Politics
6,Sample Title 6,Election campaigns are starting in several districts.,Politics
7,Sample Title 7,সরকার নতুন বাজেটে স্বাস্থ্য খাতে বরাদ্দ বৃদ্ধি করেছে।,Politics
8,Sample Title 8,The parliament passed a new law regarding digital security.,Politics
9,Sample Title 9,Election campaigns are starting in several districts.,Politics
10,Sample Title 10,সরকার নতুন বাজেটে স্বাস্থ্য খাতে বরাদ্দ বৃদ্ধি করেছে।,Politics
11,Sample Title 11,The parliament passed a new law regarding digital security.,Politics
12,Sample Title 12,Election campaigns are starting in several districts.,Politics
13,Sample Title 13,সরকার নতুন বাজেটে স্বাস্থ্য খাতে বরাদ্দ বৃদ্ধি করেছে।,Politics
14,Sample Title 14,The parliament passed a new law regarding digital security.,Politics
15,Sample Title 15,Election campaigns are starting in several districts.,Politics
16,Sample Title 16,সরকার নতুন বাজেটে স্বাস্থ্য খাতে বরাদ্দ বৃদ্ধি করেছে।,Politics
17,Sample Title 17,The parliament passed a new law regarding digital security.,Politics
18,Sample Title 18,Election campaigns are starting in several districts.,Politics
19,Sample Title 19,সরকার নতুন বাজেটে স্বাস্থ্য খাতে বরাদ্দ বৃদ্ধি করেছে।,Politics
20,Sample Title 20,The parliament passed a new law regarding digital security.,Politics
21,Sample Title 21,Election campaigns are starting in several districts.,Politics
22,Sample Title 22,সরকার নতুন বাজেটে স্বাস্থ্য খাতে বরাদ্দ বৃদ্ধি করেছে।,Politics
23,Sample Title 23,The parliament passed a new law regarding digital security.,Politics
24,Sample Title 24,Election campaigns are starting in several districts.,Politics
25,Sample Title 25,সরকার নতুন বাজেটে স্বাস্থ্য খাতে বরাদ্দ বৃদ্ধি করেছে।,Politics
26,Sample Title 26,The parliament passed a new law regarding digital security.,Politics
27,Sample Title 27,Election campaigns are starting in several districts.,Politics
28,Sample Title 28,সরকার নতুন বাজেটে স্বাস্থ্য খাতে বরাদ্দ বৃদ্ধি করেছে।,Politics
29,Sample Title 29,The parliament passed a new law regarding digital security.,Politics
30,Sample Title 30,Election campaigns are starting in several districts.,Politics
31,Sample Title 31,Messi scored two goals to secure Argentina's victory.,Sports
32,Sample Title 32,বাংলাদেশ ক্রিকেট দল শ্রীলঙ্কার বিরুদ্ধে জয় লাভ করেছে।,Sports
33,Sample Title 33,The Olympic committee announced new qualification rules.,Sports
34,Sample Title 34,Messi scored two goals to secure Argentina's victory.,Sports
35,Sample Title 35,বাংলাদেশ ক্রিকেট দল শ্রীলঙ্কার বিরুদ্ধে জয় লাভ করেছে।,Sports
36,Sample Title 36,The Olympic committee announced new qualification rules.,Sports
37,Sample Title 37,Messi scored two goals to secure Argentina's victory.,Sports
38,Sample Title 38,বাংলাদেশ ক্রিকেট দল শ্রীলঙ্কার বিরুদ্ধে জয় লাভ করেছে।,Sports
39,Sample Title 39,The Olympic committee announced new qualification rules.,Sports
40,Sample Title 40,Messi scored two goals to secure Argentina's victory.,Sports
41,Sample Title 41,বাংলাদেশ ক্রিকেট দল শ্রীলঙ্কার বিরুদ্ধে জয় লাভ করেছে।,Sports
42,Sample Title 42,The Olympic committee announced new qualification rules.,Sports
43,Sample Title 43,Messi scored two goals to secure Argentina's victory.,Sports
44,Sample Title 44,বাংলাদেশ ক্রিকেট দল শ্রীলঙ্কার বিরুদ্ধে জয় লাভ করেছে।,Sports
45,Sample Title 45,The Olympic committee announced new qualification rules.,Sports
46,Sample Title 46,Messi scored two goals to secure Argentina's victory.,Sports
47,Sample Title 47,বাংলাদেশ ক্রিকেট দল শ্রীলঙ্কার বিরুদ্ধে জয় লাভ করেছে।,Sports
48,Sample Title 48,The Olympic committee announced new qualification rules.,Sports
49,Sample Title 49,Messi scored two goals to secure Argentina's victory.,Sports
50,Sample Title 50,বাংলাদেশ ক্রিকেট দল শ্রীলঙ্কার বিরুদ্ধে জয় লাভ করেছে।,Sports
51,Sample Title 51,The Olympic committee announced new qualification rules.,Sports
52,Sample Title 52,Messi scored two goals to secure Argentina's victory.,Sports
53,Sample Title 53,বাংলাদেশ ক্রিকেট দল শ্রীলঙ্কার বিরুদ্ধে জয় লাভ করেছে।,Sports
54,Sample Title 54,The Olympic committee announced new qualification rules.,Sports
55,Sample Title 55,Messi scored two goals to secure Argentina's victory.,Sports
56,Sample Title 56,বাংলাদেশ ক্রিকেট দল শ্রীলঙ্কার বিরুদ্ধে জয় লাভ করেছে।,Sports
57,Sample Title 57,The Olympic committee announced new qualification rules.,Sports
58,Sample Title 58,Messi scored two goals to secure Argentina's victory.,Sports
59,Sample Title 59,বাংলাদেশ ক্রিকেট দল শ্রীলঙ্কার বিরুদ্ধে জয় লাভ করেছে।,Sports
60,Sample Title 60,The Olympic committee announced new qualification rules.,Sports
61,Sample Title 61,Stock market index rises due to foreign investment.,Business
62,Sample Title 62,একটি নতুন ই-কমার্স প্ল্যাটফর্ম বাংলাদেশে চালু হয়েছে।,Business
63,Sample Title 63,The government reduced tax for small businesses.,Business
64,Sample Title 64,Stock market index rises due to foreign investment.,Business
65,Sample Title 65,একটি নতুন ই-কমার্স প্ল্যাটফর্ম বাংলাদেশে চালু হয়েছে।,Business
66,Sample Title 66,The government reduced tax for small businesses.,Business
67,Sample Title 67,Stock market index rises due to foreign investment.,Business
68,Sample Title 68,একটি নতুন ই-কমার্স প্ল্যাটফর্ম বাংলাদেশে চালু হয়েছে।,Business
69,Sample Title 69,The government reduced tax for small businesses.,Business
70,Sample Title 70,Stock market index rises due to foreign investment.,Business
71,Sample Title 71,একটি নতুন ই-কমার্স প্ল্যাটফর্ম বাংলাদেশে চালু হয়েছে।,Business
72,Sample Title 72,The government reduced tax for small businesses.,Business
73,Sample Title 73,Stock market index rises due to foreign investment.,Business
74,Sample Title 74,একটি নতুন ই-কমার্স প্ল্যাটফর্ম বাংলাদেশে চালু হয়েছে।,Business
75,Sample Title 75,The government reduced tax for small businesses.,Business
76,Sample Title 76,Stock market index rises due to foreign investment.,Business
77,Sample Title 77,একটি নতুন ই-কমার্স প্ল্যাটফর্ম বাংলাদেশে চালু হয়েছে।,Business
78,Sample Title 78,The government reduced tax for small businesses.,Business
79,Sample Title 79,Stock market index rises due to foreign investment.,Business
80,Sample Title 80,একটি নতুন ই-কমার্স প্ল্যাটফর্ম বাংলাদেশে চালু হয়েছে।,Business
81,Sample Title 81,The government reduced tax for small businesses.,Business
82,Sample Title 82,Stock market index rises due to foreign investment.,Business
83,Sample Title 83,একটি নতুন ই-কমার্স প্ল্যাটফর্ম বাংলাদেশে চালু হয়েছে।,Business
84,Sample Title 84,The government reduced tax for small businesses.,Business
85,Sample Title 85,Stock market index rises due to foreign investment.,Business
86,Sample Title 86,একটি নতুন ই-কমার্স প্ল্যাটফর্ম বাংলাদেশে চালু হয়েছে।,Business
87,Sample Title 87,The government reduced tax for small businesses.,Business
88,Sample Title 88,Stock market index rises due to foreign investment.,Business
89,Sample Title 89,একটি নতুন ই-কমার্স প্ল্যাটফর্ম বাংলাদেশে চালু হয়েছে।,Business
90,Sample Title 90,The government reduced tax for small businesses.,Business
91,Sample Title 91,Apple unveiled its latest iPhone model with AI features.,Tech
92,Sample Title 92,নতুন একটি বাংলা কীবোর্ড অ্যাপ উন্মুক্ত করা হয়েছে।,Tech
93,Sample Title 93,Microsoft announced updates for Windows OS.,Tech
94,Sample Title 94,Apple unveiled its latest iPhone model with AI features.,Tech
95,Sample Title 95,নতুন একটি বাংলা কীবোর্ড অ্যাপ উন্মুক্ত করা হয়েছে।,Tech
96,Sample Title 96,Microsoft announced updates for Windows OS.,Tech
97,Sample Title 97,Apple unveiled its latest iPhone model with AI features.,Tech
98,Sample Title 98,নতুন একটি বাংলা কীবোর্ড অ্যাপ উন্মুক্ত করা হয়েছে।,Tech
99,Sample Title 99,Microsoft announced updates for Windows OS.,Tech
100,Sample Title 100,Apple unveiled its latest iPhone model with AI features.,Tech
101,Sample Title 101,নতুন একটি বাংলা কীবোর্ড অ্যাপ উন্মুক্ত করা হয়েছে।,Tech
102,Sample Title 102,Microsoft announced updates for Windows OS.,Tech
103,Sample Title 103,Apple unveiled its latest iPhone model with AI features.,Tech
104,Sample Title 104,নতুন একটি বাংলা কীবোর্ড অ্যাপ উন্মুক্ত করা হয়েছে।,Tech
105,Sample Title 105,Microsoft announced updates for Windows OS.,Tech
106,Sample Title 106,Apple unveiled its latest iPhone model with AI features.,Tech
107,Sample Title 107,নতুন একটি বাংলা কীবোর্ড অ্যাপ উন্মুক্ত করা হয়েছে।,Tech
108,Sample Title 108,Microsoft announced updates for Windows OS.,Tech
109,Sample Title 109,Apple unveiled its latest iPhone model with AI features.,Tech
110,Sample Title 110,নতুন একটি বাংলা কীবোর্ড অ্যাপ উন্মুক্ত করা হয়েছে।,Tech
111,Sample Title 111,Microsoft announced updates for Windows OS.,Tech
112,Sample Title 112,Apple unveiled its latest iPhone model with AI features.,Tech
113,Sample Title 113,নতুন একটি বাংলা কীবোর্ড অ্যাপ উন্মুক্ত করা হয়েছে।,Tech
114,Sample Title 114,Microsoft announced updates for Windows OS.,Tech
115,Sample Title 115,Apple unveiled its latest iPhone model with AI features.,Tech
116,Sample Title 116,নতুন একটি বাংলা কীবোর্ড অ্যাপ উন্মুক্ত করা হয়েছে।,Tech
117,Sample Title 117,Microsoft announced updates for Windows OS.,Tech
118,Sample Title 118,Apple unveiled its latest iPhone model with AI features.,Tech
119,Sample Title 119,নতুন একটি বাংলা কীবোর্ড অ্যাপ উন্মুক্ত করা হয়েছে।,Tech
120,Sample Title 120,Microsoft announced updates for Windows OS.,Tech
121,Sample Title 121,The new Bangla movie broke all previous box office records.,Entertainment
122,Sample Title 122,Bollywood star announced her upcoming film project.,Entertainment
123,Sample Title 123,একটি জনপ্রিয় ব্যান্ড ঢাকায় কনসার্টের আয়োজন করেছে।,Entertainment
124,Sample Title 124,The new Bangla movie broke all previous box office records.,Entertainment
125,Sample Title 125,Bollywood star announced her upcoming film project.,Entertainment
126,Sample Title 126,একটি জনপ্রিয় ব্যান্ড ঢাকায় কনসার্টের আয়োজন করেছে।,Entertainment
127,Sample Title 127,The new Bangla movie broke all previous box office records.,Entertainment
128,Sample Title 128,Bollywood star announced her upcoming film project.,Entertainment
129,Sample Title 129,একটি জনপ্রিয় ব্যান্ড ঢাকায় কনসার্টের আয়োজন করেছে।,Entertainment
130,Sample Title 130,The new Bangla movie broke all previous box office records.,Entertainment
131,Sample Title 131,Bollywood star announced her upcoming film project.,Entertainment
132,Sample Title 132,একটি জনপ্রিয় ব্যান্ড ঢাকায় কনসার্টের আয়োজন করেছে।,Entertainment
133,Sample Title 133,The new Bangla movie broke all previous box office records.,Entertainment
134,Sample Title 134,Bollywood star announced her upcoming film project.,Entertainment
135,Sample Title 135,একটি জনপ্রিয় ব্যান্ড ঢাকায় কনসার্টের আয়োজন করেছে।,Entertainment
136,Sample Title 136,The new Bangla movie broke all previous box office records.,Entertainment
137,Sample Title 137,Bollywood star announced her upcoming film project.,Entertainment
138,Sample Title 138,একটি জনপ্রিয় ব্যান্ড ঢাকায় কনসার্টের আয়োজন করেছে।,Entertainment
139,Sample Title 139,The new Bangla movie broke all previous box office records.,Entertainment
140,Sample Title 140,Bollywood star announced her upcoming film project.,Entertainment
141,Sample Title 141,একটি জনপ্রিয় ব্যান্ড ঢাকায় কনসার্টের আয়োজন করেছে।,Entertainment
142,Sample Title 142,The new Bangla movie broke all previous box office records.,Entertainment
143,Sample Title 143,Bollywood star announced her upcoming film project.,Entertainment
144,Sample Title 144,একটি জনপ্রিয় ব্যান্ড ঢাকায় কনসার্টের আয়োজন করেছে।,Entertainment
145,Sample Title 145,The new Bangla movie broke all previous box office records.,Entertainment
146,Sample Title 146,Bollywood star announced her upcoming film project.,Entertainment
147,Sample Title 147,একটি জনপ্রিয় ব্যান্ড ঢাকায় কনসার্টের আয়োজন করেছে।,Entertainment
148,Sample Title 148,The new Bangla movie broke all previous box office records.,Entertainment
149,Sample Title 149,Bollywood star announced her upcoming film project.,Entertainment
150,Sample Title 150,একটি জনপ্রিয় ব্যান্ড ঢাকায় কনসার্টের আয়োজন করেছে।,Entertainment
151,Sample Title 151,Doctors suggest regular exercise to prevent diabetes.,Health
152,Sample Title 152,নতুন ভ্যাকসিন কোভিড প্রতিরোধে কার্যকর প্রমাণিত হয়েছে।,Health
153,Sample Title 153,WHO released guidelines for mental health awareness.,Health
154,Sample Title 154,Doctors suggest regular exercise to prevent diabetes.,Health
155,Sample Title 155,নতুন ভ্যাকসিন কোভিড প্রতিরোধে কার্যকর প্রমাণিত হয়েছে।,Health
156,Sample Title 156,WHO released guidelines for mental health awareness.,Health
157,Sample Title 157,Doctors suggest regular exercise to prevent diabetes.,Health
158,Sample Title 158,নতুন ভ্যাকসিন কোভিড প্রতিরোধে কার্যকর প্রমাণিত হয়েছে।,Health
159,Sample Title 159,WHO released guidelines for mental health awareness.,Health
160,Sample Title 160,Doctors suggest regular exercise to prevent diabetes.,Health
161,Sample Title 161,নতুন ভ্যাকসিন কোভিড প্রতিরোধে কার্যকর প্রমাণিত হয়েছে।,Health
162,Sample Title 162,WHO released guidelines for mental health awareness.,Health
163,Sample Title 163,Doctors suggest regular exercise to prevent diabetes.,Health
164,Sample Title 164,নতুন ভ্যাকসিন কোভিড প্রতিরোধে কার্যকর প্রমাণিত হয়েছে।,Health
165,Sample Title 165,WHO released guidelines for mental health awareness.,Health
166,Sample Title 166,Doctors suggest regular exercise to prevent diabetes.,Health
167,Sample Title 167,নতুন ভ্যাকসিন কোভিড প্রতিরোধে কার্যকর প্রমাণিত হয়েছে।,Health
168,Sample Title 168,WHO released guidelines for mental health awareness.,Health
169,Sample Title 169,Doctors suggest regular exercise to prevent diabetes.,Health
170,Sample Title 170,নতুন ভ্যাকসিন কোভিড প্রতিরোধে কার্যকর প্রমাণিত হয়েছে।,Health
171,Sample Title 171,WHO released guidelines for mental health awareness.,Health
172,Sample Title 172,Doctors suggest regular exercise to prevent diabetes.,Health
173,Sample Title 173,নতুন ভ্যাকসিন কোভিড প্রতিরোধে কার্যকর প্রমাণিত হয়েছে।,Health
174,Sample Title 174,WHO released guidelines for mental health awareness.,Health
175,Sample Title 175,Doctors suggest regular exercise to prevent diabetes.,Health
176,Sample Title 176,নতুন ভ্যাকসিন কোভিড প্রতিরোধে কার্যকর প্রমাণিত হয়েছে।,Health
177,Sample Title 177,WHO released guidelines for mental health awareness.,Health
178,Sample Title 178,Doctors suggest regular exercise to prevent diabetes.,Health
179,Sample Title 179,নতুন ভ্যাকসিন কোভিড প্রতিরোধে কার্যকর প্রমাণিত হয়েছে।,Health
180,Sample Title 180,WHO released guidelines for mental health awareness.,Health
181,Sample Title 181,Education ministry decided to digitize school exams.,Education
182,Sample Title 182,নতুন কারিকুলামে প্রজেক্ট ভিত্তিক শিক্ষা যোগ করা হয়েছে।,Education
183,Sample Title 183,University announces scholarships for poor students.,Education
184,Sample Title 184,Education ministry decided to digitize school exams.,Education
185,Sample Title 185,নতুন কারিকুলামে প্রজেক্ট ভিত্তিক শিক্ষা যোগ করা হয়েছে।,Education
186,Sample Title 186,University announces scholarships for poor students.,Education
187,Sample Title 187,Education ministry decided to digitize school exams.,Education
188,Sample Title 188,নতুন কারিকুলামে প্রজেক্ট ভিত্তিক শিক্ষা যোগ করা হয়েছে।,Education
189,Sample Title 189,University announces scholarships for poor students.,Education
190,Sample Title 190,Education ministry decided to digitize school exams.,Education
191,Sample Title 191,নতুন কারিকুলামে প্রজেক্ট ভিত্তিক শিক্ষা যোগ করা হয়েছে।,Education
192,Sample Title 192,University announces scholarships for poor students.,Education
193,Sample Title 193,Education ministry decided to digitize school exams.,Education
194,Sample Title 194,নতুন কারিকুলামে প্রজেক্ট ভিত্তিক শিক্ষা যোগ করা হয়েছে।,Education
195,Sample Title 195,University announces scholarships for poor students.,Education
196,Sample Title 196,Education ministry decided to digitize school exams.,Education
197,Sample Title 197,নতুন কারিকুলামে প্রজেক্ট ভিত্তিক শিক্ষা যোগ করা হয়েছে।,Education
198,Sample Title 198,University announces scholarships for poor students.,Education
199,Sample Title 199,Education ministry decided to digitize school exams.,Education
200,Sample Title 200,নতুন কারিকুলামে প্রজেক্ট ভিত্তিক শিক্ষা যোগ করা হয়েছে।,Education
201,Sample Title 201,University announces scholarships for poor students.,Education
202,Sample Title 202,Education ministry decided to digitize school exams.,Education
203,Sample Title 203,নতুন কারিকুলামে প্রজেক্ট ভিত্তিক শিক্ষা যোগ করা হয়েছে।,Education
204,Sample Title 204,University announces scholarships for poor students.,Education
205,Sample Title 205,Education ministry decided to digitize school exams.,Education
206,Sample Title 206,নতুন কারিকুলামে প্রজেক্ট ভিত্তিক শিক্ষা যোগ করা হয়েছে।,Education
207,Sample Title 207,University announces scholarships for poor students.,Education
208,Sample Title 208,Education ministry decided to digitize school exams.,Education
209,Sample Title 209,নতুন কারিকুলামে প্রজেক্ট ভিত্তিক শিক্ষা যোগ করা হয়েছে।,Education
210,Sample Title 210,University announces scholarships for poor students.,Education
211,Sample Title 211,সাবেক ডিবিপ্রধান হারুনসহ ১৮ পুলিশ কর্মকর্তা বরখাস্ত,Politics

212,Sample Title 212,বাংলাদেশে মৌসুমি বৃষ্টিপাতের কারণে বেশ কয়েকটি জেলা প্লাবিত হয়েছে।,Weather
213,Sample Title 213,The Met Office warned of heavy rainfall in coastal areas.,Weather
214,Sample Title 214,আজ ঢাকায় সর্বোচ্চ তাপমাত্রা ৩৪ ডিগ্রি সেলসিয়াস রেকর্ড করা হয়েছে।,Weather
215,Sample Title 215,Severe heatwave continues in Rajshahi and Khulna divisions.,Weather
216,Sample Title 216,চট্টগ্রামে প্রবল বর্ষণে জনজীবন বিপর্যস্ত হয়ে পড়েছে।,Weather
217,Sample Title 217,The cyclone alert has been issued for the Bay of Bengal.,Weather
218,Sample Title 218,শীতকালীন কুয়াশার কারণে উত্তরাঞ্চলে যোগাযোগ ব্যবস্থা ব্যাহত।,Weather
219,Sample Title 219,Heavy fog disrupts flights at Dhaka airport.,Weather
220,Sample Title 220,বরিশালে টানা বৃষ্টিতে ফসলের ক্ষতির আশঙ্কা দেখা দিয়েছে।,Weather
221,Sample Title 221,The temperature dropped to 12°C in Sylhet due to cold wave.,Weather

222,Sample Title 222,সংসদে নতুন দুর্নীতি দমন আইন নিয়ে আলোচনা হয়েছে।,Politics
223,Sample Title 223,Opposition party announced protests against rising prices.,Politics
224,Sample Title 224,সরকার নতুন মন্ত্রিসভা গঠন করেছে,Politics
225,Sample Title 225,Prime Minister visited the flood-affected districts.,Politics
226,Sample Title 226,বিরোধী দল নির্বাচন কমিশনের নিরপেক্ষতা নিয়ে প্রশ্ন তুলেছে।,Politics
227,Sample Title 227,The government signed an agreement with the UN on human rights.,Politics
228,Sample Title 228,রাজধানীতে দলীয় কার্যালয়ের সামনে পুলিশের সঙ্গে সংঘর্ষ হয়েছে।,Politics
229,Sample Title 229,President emphasized strengthening diplomatic relations with neighbors.,Politics
230,Sample Title 230,সরকারি চাকরিতে নতুন নিয়োগ নীতি অনুমোদন দিয়েছে মন্ত্রিসভা।,Politics
231,Sample Title 231,Election Commission announced the schedule for upcoming city polls.,Politics
232,Sample Title 232,চট্টগ্রামে সড়ক দুর্ঘটনায় ৩ জন নিহত হয়েছে।,Accident
233,Sample Title 233,Highway collision in Dhaka left 5 people injured.,Accident
234,Sample Title 234,রাজধানীতে বাসচাপায় কলেজ ছাত্র নিহত।,Accident
235,Sample Title 235,Two trucks collided on the highway causing major traffic jam.,Accident
